Các tỉnh thành,Mật độ dân số,Dân số trung bình,Tỷ lệ giới tính,Tỷ lệ gia tăng dân số,Lực lương lao động từ 15 tuổi trở lên,Vùng,Năm
Quảng Trị,131,619.9,97.2,0.58,349.7,Bắc Trung bộ và duyên hải miền Trung,2015
Thừa Thiên Huế,227,1140.7,98.4,0.88,636.2,Bắc Trung bộ và duyên hải miền Trung,2015
Đà Nẵng,800,1028.8,96.6,1.9,547,Bắc Trung bộ và duyên hải miền Trung,2015
Quảng Nam,142,1480.3,95.7,0.54,890.2,Bắc Trung bộ và duyên hải miền Trung,2015
Quảng Ngãi,242,1246.4,96.8,0.41,760.9,Bắc Trung bộ và duyên hải miền Trung,2015
Bình Định,251,1519.7,95.5,0.38,912.9,Bắc Trung bộ và duyên hải miền Trung,2015
Phú Yên,177,893.4,100.1,0.68,538.6,Bắc Trung bộ và duyên hải miền Trung,2015
Khánh Hòa,231,1205.3,97.2,0.7,690.5,Bắc Trung bộ và duyên hải miền Trung,2015
Ninh Thuận,177,595.9,101.8,0.93,343.1,Bắc Trung bộ và duyên hải miền Trung,2015
Bình Thuận,156,1215.2,100.2,0.63,710,Bắc Trung bộ và duyên hải miền Trung,2015
Kon Tum,51,495.9,114,2.41,293.2,Tây Nguyên,2015
Gia Lai,90,1397.4,93.6,1.42,842.4,Tây Nguyên,2015
Đắk Lắk,141,1853.7,101.3,1.12,1128.1,Tây Nguyên,2015
Đắk Nông,90,587.8,102.3,2.9,374,Tây Nguyên,2015
Lâm Đồng,130,1273.1,101,1.1,778.1,Tây Nguyên,2015
Bình Phước,137,944.4,96.5,1.27,573,Đông Nam Bộ,2015
Tây Ninh,276,1111.5,99,0.66,643.9,Đông Nam Bộ,2015
Bình Dương,723,1947.2,93.3,3.04,1270.8,Đông Nam Bộ,2015
Đồng Nai,492,2905.8,94.5,2.08,1630.3,Đông Nam Bộ,2015
Bà Rịa - Vũng Tàu,539,1072.6,99.9,1.84,570,Đông Nam Bộ,2015
Hồ Chí Minh,3888,8146.3,91.8,1.83,4251.4,Đông Nam Bộ,2015
Long An,330,1484.7,98.7,0.45,893.4,Đồng bằng sông Cửu Long,2015
Tiền Giang,689,1728.7,96.3,0.7,1080.9,Đồng bằng sông Cửu Long,2015
Bến Tre,536,1263.7,96.4,0.12,809.4,Đồng bằng sông Cửu Long,2015
Trà Vinh,442,1034.6,95.9,0.52,611.1,Đồng bằng sông Cửu Long,2015
Vĩnh Long,687,1045,97.1,0.34,627.6,Đồng bằng sông Cửu Long,2015
Đồng Tháp,498,1684.3,99.2,0.17,1017.5,Đồng bằng sông Cửu Long,2015
An Giang,610,2158.3,98.1,0.12,1218.9,Đồng bằng sông Cửu Long,2015
Kiên Giang,277,1761,100.4,0.89,1005.1,Đồng bằng sông Cửu Long,2015
Cần Thơ,886,1248,99.1,0.79,693.1,Đồng bằng sông Cửu Long,2015
Hậu Giang,481,770.4,97.7,0.27,462.9,Đồng bằng sông Cửu Long,2015
Sóc Trăng,396,1310.7,98.4,0.23,704.1,Đồng bằng sông Cửu Long,2015
Bạc Liêu,357,882,101.3,0.47,506.5,Đồng bằng sông Cửu Long,2015
Cà Mau,230,1218.9,100.6,0.21,704.1,Đồng bằng sông Cửu Long,2015
Hà Nội,2182,7328.4,96.2,1.5,3822.5,Đồng bằng sông Hồng,2016
Vĩnh Phúc,863,1066,96.8,1.09,629.8,Đồng bằng sông Hồng,2016
Bắc Ninh,1432,1178.6,96.8,2.07,666.9,Đồng bằng sông Hồng,2016
Quảng Ninh,198,1224.6,100.5,1.3,691.9,Đồng bằng sông Hồng,2016
Hải Dương,1070,1785.8,96,0.64,1035.2,Đồng bằng sông Hồng,2016
Hải Phòng,1268,1980.8,98.9,0.89,1131.6,Đồng bằng sông Hồng,2016
Hưng Yên,1258,1170.2,96.6,0.52,704.4,Đồng bằng sông Hồng,2016
Thái Bình,1128,1790,93.6,0.04,1104.7,Đồng bằng sông Hồng,2016
Hà Nam,932,803.7,97.8,0.13,473.4,Đồng bằng sông Hồng,2016
Nam Định,1110,1852.6,96.1,0.11,1148,Đồng bằng sông Hồng,2016
Ninh Bình,687,953.1,99.6,0.92,585.4,Đồng bằng sông Hồng,2016
Hà Giang,103,816.1,101.4,2.32,524.8,Trung du và miền núi phía Bắc,2016
Cao Bằng,79,529.8,98.2,1.05,360.9,Trung du và miền núi phía Bắc,2016
Bắc Kạn,66,319,96.9,1.88,228.8,Trung du và miền núi phía Bắc,2016
Tuyên Quang,131,766.9,96.8,0.86,482.9,Trung du và miền núi phía Bắc,2016
Lào Cai,108,684.3,102.1,1.45,432.8,Trung du và miền núi phía Bắc,2016
Yên Bái,116,800.1,99.9,0.91,519.4,Trung du và miền núi phía Bắc,2016
Thái Nguyên,348,1227.4,96.6,2.34,729.9,Trung du và miền núi phía Bắc,2016
Lạng Sơn,92,768.7,100.5,1.06,507.9,Trung du và miền núi phía Bắc,2016
Bắc Giang,426,1657.6,98.7,1.02,1034.5,Trung du và miền núi phía Bắc,2016
Phú Thọ,391,1381.7,97.3,0.81,819.7,Trung du và miền núi phía Bắc,2016
Điện Biên,58,557.4,100,1.75,348.4,Trung du và miền núi phía Bắc,2016
Lai Châu,48,436,97.5,2.48,268.8,Trung du và miền núi phía Bắc,2016
Sơn La,86,1208,101,1.76,750.8,Trung du và miền núi phía Bắc,2016
Hòa Bình,181,831.3,99.7,0.86,553.2,Trung du và miền núi phía Bắc,2016
Thanh Hóa,317,3528.3,99.3,0.46,2241.2,Bắc Trung bộ và duyên hải miền Trung,2016
Nghệ An,188,3105.5,100,0.83,1878.8,Bắc Trung bộ và duyên hải miền Trung,2016
Hà Tĩnh,211,1266.7,96.6,0.43,718.4,Bắc Trung bộ và duyên hải miền Trung,2016
Quảng Bình,110,877.7,100.2,0.55,531.1,Bắc Trung bộ và duyên hải miền Trung,2016
Quảng Trị,135,623.5,96.4,0.59,348.9,Bắc Trung bộ và duyên hải miền Trung,2016
Thừa Thiên Huế,235,1149.8,98.8,0.72,631.7,Bắc Trung bộ và duyên hải miền Trung,2016
Đà Nẵng,814,1046.2,97.1,1.8,556.1,Bắc Trung bộ và duyên hải miền Trung,2016
Quảng Nam,141,1487.7,95.7,0.47,902,Bắc Trung bộ và duyên hải miền Trung,2016
Quảng Ngãi,243,1251.5,97.6,0.63,767.4,Bắc Trung bộ và duyên hải miền Trung,2016
Bình Định,251,1524.6,95.5,0.29,931.4,Bắc Trung bộ và duyên hải miền Trung,2016
Phú Yên,179,899.4,100,0.68,545.7,Bắc Trung bộ và duyên hải miền Trung,2016
Khánh Hòa,236,1213.8,96.9,0.7,689.6,Bắc Trung bộ và duyên hải miền Trung,2016
Ninh Thuận,179,601.4,101.8,0.92,347.7,Bắc Trung bộ và duyên hải miền Trung,2016
Bình Thuận,154,1222.7,100.2,0.63,716.3,Bắc Trung bộ và duyên hải miền Trung,2016
Kon Tum,52,507.8,114.1,2.4,300.9,Tây Nguyên,2016
Gia Lai,91,1417.3,98.3,1.42,856.6,Tây Nguyên,2016
Đắk Lắk,144,1874.5,101.3,1.12,1149.4,Tây Nguyên,2016
Đắk Nông,93,605.4,106.9,3.51,381.3,Tây Nguyên,2016
Lâm Đồng,132,1288.2,101.6,1.01,793.8,Tây Nguyên,2016
Bình Phước,139,956.4,96.5,1.28,581.1,Đông Nam Bộ,2016
Tây Ninh,277,1118.8,100.1,0.66,651.4,Đông Nam Bộ,2016
Bình Dương,741,1995.8,93.4,3.39,1280.1,Đông Nam Bộ,2016
Đồng Nai,505,2963.8,94.1,2.21,1634.7,Đông Nam Bộ,2016
Bà Rịa - Vũng Tàu,551,1092,100.2,1.04,598,Đông Nam Bộ,2016
Hồ Chí Minh,4025,8297.5,91.9,1.96,4335.7,Đông Nam Bộ,2016
Long An,332,1490.6,98.7,0.43,899.4,Đồng bằng sông Cửu Long,2016
Tiền Giang,693,1740.2,96.3,0.7,1101.8,Đồng bằng sông Cửu Long,2016
Bến Tre,528,1265.2,96.6,0.12,807.3,Đồng bằng sông Cửu Long,2016
Trà Vinh,441,1040.5,95.6,0.57,615.5,Đồng bằng sông Cửu Long,2016
Vĩnh Long,687,1048.6,97.2,0.34,630.4,Đồng bằng sông Cửu Long,2016
Đồng Tháp,499,1687.3,99.2,0.18,1112.1,Đồng bằng sông Cửu Long,2016
An Giang,611,2159.9,98.1,0.07,1228.3,Đồng bằng sông Cửu Long,2016
Kiên Giang,280,1776.7,100.4,0.89,1006.2,Đồng bằng sông Cửu Long,2016
Cần Thơ,874,1257.9,99.3,1.17,712.9,Đồng bằng sông Cửu Long,2016
Hậu Giang,476,772.5,95.9,0.26,471.7,Đồng bằng sông Cửu Long,2016
Sóc Trăng,396,1312.5,98.4,0.14,712.1,Đồng bằng sông Cửu Long,2016
Bạc Liêu,332,886.2,101.3,0.47,513,Đồng bằng sông Cửu Long,2016
Cà Mau,234,1222.6,100.4,0.3,708.6,Đồng bằng sông Cửu Long,2016
Hà Nội,2209,7420.1,98,1.99,4024.2,Đồng bằng sông Hồng,2017
Vĩnh Phúc,874,1079.5,97.8,1.54,625.3,Đồng bằng sông Hồng,2017
Bắc Ninh,1477,1215.2,97.4,3.17,735.6,Đồng bằng sông Hồng,2017
Quảng Ninh,201,1243.6,103.6,1.9,728.1,Đồng bằng sông Hồng,2017
Hải Dương,1077,1797.3,98.2,0.97,1071.7,Đồng bằng sông Hồng,2017
Hải Phòng,1279,1997.7,98.7,0.81,1136,Đồng bằng sông Hồng,2017
Hưng Yên,1265,1176.3,99.6,1.1,716.1,Đồng bằng sông Hồng,2017
Thái Bình,1129,1791.5,94.5,0.43,1120.1,Đồng bằng sông Hồng,2017
Hà Nam,935,805.7,96.7,0.91,487.4,Đồng bằng sông Hồng,2017
Nam Định,1111,1853.3,95.8,-0.24,1051.9,Đồng bằng sông Hồng,2017
Ninh Bình,694,961.9,99.1,0.9,576.9,Đồng bằng sông Hồng,2017
Hà Giang,105,833.5,101.6,1.62,514.8,Trung du và miền núi phía Bắc,2017
Cao Bằng,80,535.4,100,0.42,347.8,Trung du và miền núi phía Bắc,2017
Bắc Kạn,67,323.2,103.6,0.72,208.7,Trung du và miền núi phía Bắc,2017
Tuyên Quang,132,773.5,101.2,0.93,472.3,Trung du và miền núi phía Bắc,2017
Lào Cai,109,694.4,103,1.74,433.6,Trung du và miền núi phía Bắc,2017
Yên Bái,117,807.3,101,0.87,511.3,Trung du và miền núi phía Bắc,2017
Thái Nguyên,356,1255.1,96.1,1.07,763.2,Trung du và miền núi phía Bắc,2017
Lạng Sơn,94,778.4,103.5,0.69,491.6,Trung du và miền núi phía Bắc,2017
Bắc Giang,430,1674.4,100.3,2.35,1063.7,Trung du và miền núi phía Bắc,2017
Phú Thọ,394,1392.9,98.5,1.52,841.6,Trung du và miền núi phía Bắc,2017
Điện Biên,59,567,102.2,1.96,333.7,Trung du và miền núi phía Bắc,2017
Lai Châu,49,446.1,103.8,1.88,267.8,Trung du và miền núi phía Bắc,2017
Sơn La,87,1228.9,102.4,1.55,748.2,Trung du và miền núi phía Bắc,2017
Hòa Bình,183,838.8,99.7,0.95,543.3,Trung du và miền núi phía Bắc,2017
Thanh Hóa,319,3544.4,99.2,0.92,2253.4,Bắc Trung bộ và duyên hải miền Trung,2017
Nghệ An,190,3131.3,99.6,1.36,1911.6,Bắc Trung bộ và duyên hải miền Trung,2017
Hà Tĩnh,212,1272.2,98.7,0.59,705,Bắc Trung bộ và duyên hải miền Trung,2017
Quảng Bình,110,882.5,100.2,0.58,527.5,Bắc Trung bộ và duyên hải miền Trung,2017
Quảng Trị,136,627.3,98.2,0.61,345.8,Bắc Trung bộ và duyên hải miền Trung,2017
Thừa Thiên Huế,235,1154.3,97.9,0.48,615.9,Bắc Trung bộ và duyên hải miền Trung,2017
Đà Nẵng,828,1064.1,97.2,1.62,594.8,Bắc Trung bộ và duyên hải miền Trung,2017
Quảng Nam,141,1493.8,96.5,0.51,879.4,Bắc Trung bộ và duyên hải miền Trung,2017
Quảng Ngãi,245,1261.6,97.7,0.12,746.9,Bắc Trung bộ và duyên hải miền Trung,2017
Bình Định,252,1529,96.1,0,893.7,Bắc Trung bộ và duyên hải miền Trung,2017
Phú Yên,180,904.4,101,0.22,514.4,Bắc Trung bộ và duyên hải miền Trung,2017
Khánh Hòa,238,1222.2,98.8,0.76,697.2,Bắc Trung bộ và duyên hải miền Trung,2017
Ninh Thuận,181,607,100.3,0.67,335.9,Bắc Trung bộ và duyên hải miền Trung,2017
Bình Thuận,106,5778.5,100.9,0.57,715.6,Bắc Trung bộ và duyên hải miền Trung,2017
Kon Tum,54,520,101.3,2.41,304.1,Tây Nguyên,2017
Gia Lai,93,1437.4,100.5,1.51,879.4,Tây Nguyên,2017
Đắk Lắk,146,1896.6,101.8,0.76,1084.9,Tây Nguyên,2017
Đắk Nông,96,625.6,106.7,1.76,365.8,Tây Nguyên,2017
Lâm Đồng,133,1298.9,101.4,0.79,733.6,Tây Nguyên,2017
Bình Phước,141,968.9,102,1.03,593.4,Đông Nam Bộ,2017
Tây Ninh,279,1126.2,99.7,1,692.2,Đông Nam Bộ,2017
Bình Dương,769,2071,99.5,4.13,1492.1,Đông Nam Bộ,2017
Đồng Nai,516,3027.3,100.2,1.81,1738.7,Đông Nam Bộ,2017
Bà Rịa - Vũng Tàu,556,1101.6,100.6,0.86,606.6,Đông Nam Bộ,2017
Hồ Chí Minh,4097,8444.6,94.5,2.01,4578.7,Đông Nam Bộ,2017
Long An,333,1496.8,99.3,1.04,996.3,Đồng bằng sông Cửu Long,2017
Tiền Giang,698,1751.8,96.3,0.67,1102.3,Đồng bằng sông Cửu Long,2017
Bến Tre,529,1266.7,95.9,0.3,814.5,Đồng bằng sông Cửu Long,2017
Trà Vinh,443,1045.6,97,0.05,593.2,Đồng bằng sông Cửu Long,2017
Vĩnh Long,688,1050.2,97.1,-0.02,610.5,Đồng bằng sông Cửu Long,2017
Đồng Tháp,500,1690.3,99.8,-0.4,975.6,Đồng bằng sông Cửu Long,2017
An Giang,611,2161.7,98.6,-1.12,1096.2,Đồng bằng sông Cửu Long,2017
Kiên Giang,282,1792.6,102.6,0.24,954.9,Đồng bằng sông Cửu Long,2017
Cần Thơ,885,1272.8,98.4,0.64,726.2,Đồng bằng sông Cửu Long,2017
Hậu Giang,478,774.6,100.1,-0.38,455.8,Đồng bằng sông Cửu Long,2017
Sóc Trăng,397,1314.3,99.3,-0.75,674.4,Đồng bằng sông Cửu Long,2017
Bạc Liêu,335,894.3,100,0.55,514.5,Đồng bằng sông Cửu Long,2017
Cà Mau,235,1226.3,102.3,-0.1,683.7,Đồng bằng sông Cửu Long,2017
Hà Nội,2239,7520.7,98.1,2.23,4064.8,Đồng bằng sông Hồng,2018
Vĩnh Phúc,884,1092.4,98.1,1.36,630.5,Đồng bằng sông Hồng,2018
Bắc Ninh,1516,1247.5,96.8,3.05,751.6,Đồng bằng sông Hồng,2018
Quảng Ninh,205,1266.5,103.6,1.46,734.7,Đồng bằng sông Hồng,2018
Hải Dương,1083,1807.5,98.5,1.46,1067.6,Đồng bằng sông Hồng,2018
Hải Phòng,1289,2013.8,98.7,0.75,1138.2,Đồng bằng sông Hồng,2018
Hưng Yên,1278,1188.9,99.8,1.1,717.9,Đồng bằng sông Hồng,2018
Thái Bình,1130,1793.2,94.7,0.43,1121.3,Đồng bằng sông Hồng,2018
Hà Nam,938,808.2,96.8,0.88,487.7,Đồng bằng sông Hồng,2018
Nam Định,1111,1854.4,95.9,-0.22,1044.6,Đồng bằng sông Hồng,2018
Ninh Bình,702,973.3,99.2,0.96,586.2,Đồng bằng sông Hồng,2018
Hà Giang,107,846.5,101.9,1.54,532.8,Trung du và miền núi phía Bắc,2018
Cao Bằng,81,540.4,100.2,0.43,351.9,Trung du và miền núi phía Bắc,2018
Bắc Kạn,67,327.9,103.8,0.7,216.5,Trung du và miền núi phía Bắc,2018
Tuyên Quang,133,780.1,101.3,1.02,480.6,Trung du và miền núi phía Bắc,2018
Lào Cai,111,705.6,103.2,1.73,444.2,Trung du và miền núi phía Bắc,2018
Yên Bái,118,815.6,101.1,0.9,519.6,Trung du và miền núi phía Bắc,2018
Thái Nguyên,360,1268.3,95.9,1.39,767.2,Trung du và miền núi phía Bắc,2018
Lạng Sơn,95,790.5,104.1,0.93,493.9,Trung du và miền núi phía Bắc,2018
Bắc Giang,434,1691.8,100.5,2.34,1088.1,Trung du và miền núi phía Bắc,2018
Phú Thọ,397,1404.2,98.6,1.34,848,Trung du và miền núi phía Bắc,2018
Điện Biên,60,576.7,102.5,1.92,341.4,Trung du và miền núi phía Bắc,2018
Lai Châu,50,456.3,103.8,2,274.3,Trung du và miền núi phía Bắc,2018
Sơn La,88,1242.7,102.6,1.62,758.6,Trung du và miền núi phía Bắc,2018
Hòa Bình,184,846.1,99.8,0.65,553,Trung du và miền núi phía Bắc,2018
Thanh Hóa,320,3558.2,99.4,0.77,2261.2,Bắc Trung bộ và duyên hải miền Trung,2018
Nghệ An,192,3157.1,99.8,1.38,1909.6,Bắc Trung bộ và duyên hải miền Trung,2018
Hà Tĩnh,213,1277.5,98.8,0.49,707,Bắc Trung bộ và duyên hải miền Trung,2018
Quảng Bình,111,887.6,100.6,0.61,527.7,Bắc Trung bộ và duyên hải miền Trung,2018
Quảng Trị,136,630.6,98.2,0.7,346.4,Bắc Trung bộ và duyên hải miền Trung,2018
Thừa Thiên Huế,237,1163.6,97.9,0.19,615,Bắc Trung bộ và duyên hải miền Trung,2018
Đà Nẵng,841,1080.7,97.2,1.51,601.4,Bắc Trung bộ và duyên hải miền Trung,2018
Quảng Nam,142,1501.1,96.7,0.5,883.4,Bắc Trung bộ và duyên hải miền Trung,2018
Quảng Ngãi,247,1272.8,97.7,0.13,746.7,Bắc Trung bộ và duyên hải miền Trung,2018
Bình Định,253,1534.8,96.5,0,907.3,Bắc Trung bộ và duyên hải miền Trung,2018
Phú Yên,181,909.5,101.1,0.17,524.5,Bắc Trung bộ và duyên hải miền Trung,2018
Khánh Hòa,240,1232.4,98.9,0.67,702.2,Bắc Trung bộ và duyên hải miền Trung,2018
Ninh Thuận,182,611.8,100.4,0.6,337.5,Bắc Trung bộ và duyên hải miền Trung,2018
Bình Thuận,108,5871,100.9,0.56,723.8,Bắc Trung bộ và duyên hải miền Trung,2018
Kon Tum,55,535,101.2,2.37,307.6,Tây Nguyên,2018
Gia Lai,94,1458.5,100.5,1.82,890,Tây Nguyên,2018
Đắk Lắk,147,1919.2,101.7,0.61,1096.9,Tây Nguyên,2018
Đắk Nông,99,645.4,106.5,1.74,367.4,Tây Nguyên,2018
Lâm Đồng,134,1312.9,101.4,0.79,748.8,Tây Nguyên,2018
Bình Phước,142,979.6,101.8,1.26,588.8,Đông Nam Bộ,2018
Tây Ninh,280,1133.4,99.8,0.83,676.9,Đông Nam Bộ,2018
Bình Dương,803,2163.6,100.4,5.3,1562.2,Đông Nam Bộ,2018
Đồng Nai,526,3086.1,100.4,1.67,1765.1,Đông Nam Bộ,2018
Bà Rịa - Vũng Tàu,562,1112.9,100.7,0.98,610.1,Đông Nam Bộ,2018
Hồ Chí Minh,4171,8598.7,94.8,2.24,4684.9,Đông Nam Bộ,2018
Long An,334,1503.1,99.4,1,1006.7,Đồng bằng sông Cửu Long,2018
Tiền Giang,702,1762.3,96.3,0.41,1125.8,Đồng bằng sông Cửu Long,2018
Bến Tre,530,1268.2,95.9,0.27,814.5,Đồng bằng sông Cửu Long,2018
Trà Vinh,445,1049.8,97,0.07,588.1,Đồng bằng sông Cửu Long,2018
Vĩnh Long,689,1051.8,97.1,0.01,607.9,Đồng bằng sông Cửu Long,2018
Đồng Tháp,500,1693.3,99.8,-0.4,1055.7,Đồng bằng sông Cửu Long,2018
An Giang,612,2164.2,98.6,-1.18,1078.7,Đồng bằng sông Cửu Long,2018
Kiên Giang,285,1810.5,102.7,0.31,946.2,Đồng bằng sông Cửu Long,2018
Cần Thơ,891,1282.3,98.4,0.44,731,Đồng bằng sông Cửu Long,2018
Hậu Giang,479,776.7,100,-0.32,450.7,Đồng bằng sông Cửu Long,2018
Sóc Trăng,397,1315.9,99.3,-0.78,670.1,Đồng bằng sông Cửu Long,2018
Bạc Liêu,336,897,100.1,0.58,516.7,Đồng bằng sông Cửu Long,2018
Cà Mau,236,1229.6,102.5,-0.12,688.3,Đồng bằng sông Cửu Long,2018
Hà Nội,2410,8093.9,98.32,2.27,4118.3,Đồng bằng sông Hồng,2019
Vĩnh Phúc,934,1154.8,99.32,1.45,647.4,Đồng bằng sông Hồng,2019
Bắc Ninh,1676,1378.6,97.62,3.08,777.7,Đồng bằng sông Hồng,2019
Quảng Ninh,214,1324.8,103.48,1.61,734.5,Đồng bằng sông Hồng,2019
Hải Dương,1137,1896.9,98.8,1.02,1070.8,Đồng bằng sông Hồng,2019
Hải Phòng,1302,2033.3,98.74,0.83,1111.1,Đồng bằng sông Hồng,2019
Hưng Yên,1350,1255.8,100.25,1.08,726.8,Đồng bằng sông Hồng,2019
Thái Bình,1174,1862.2,94.84,0.43,1133.1,Đồng bằng sông Hồng,2019
Hà Nam,991,854.5,96.97,0.87,486.9,Đồng bằng sông Hồng,2019
Nam Định,1067,1780.9,96.05,-0.19,1050.1,Đồng bằng sông Hồng,2019
Ninh Bình,710,984.5,99.24,1.01,581.5,Đồng bằng sông Hồng,2019
Hà Giang,108,858.1,102.14,1.37,533,Trung du và miền núi phía Bắc,2019
Cao Bằng,79,530.9,100.39,0.42,348.9,Trung du và miền núi phía Bắc,2019
Bắc Kạn,65,314.4,104.07,0.74,211,Trung du và miền núi phía Bắc,2019
Tuyên Quang,134,786.3,101.43,1.02,489.8,Trung du và miền núi phía Bắc,2019
Lào Cai,115,733.3,103.45,1.74,435.5,Trung du và miền núi phía Bắc,2019
Yên Bái,119,823,101.25,1.04,520.4,Trung du và miền núi phía Bắc,2019
Thái Nguyên,366,1290.9,95.64,1.37,777.2,Trung du và miền núi phía Bắc,2019
Lạng Sơn,94,782.8,104.49,0.9,500,Trung du và miền núi phía Bắc,2019
Bắc Giang,465,1810.4,100.77,1.85,1107.9,Trung du và miền núi phía Bắc,2019
Phú Thọ,415,1466.4,98.95,1.16,850.5,Trung du và miền núi phía Bắc,2019
Điện Biên,63,601.7,102.82,1.89,351.4,Trung du và miền núi phía Bắc,2019
Lai Châu,51,462.6,103.83,2.04,283.4,Trung du và miền núi phía Bắc,2019
Sơn La,89,1252.7,102.8,1.59,771,Trung du và miền núi phía Bắc,2019
Hòa Bình,186,855.8,99.97,0.63,556.2,Trung du và miền núi phía Bắc,2019
Thanh Hóa,328,3645.8,99.6,0.4,2295,Bắc Trung bộ và duyên hải miền Trung,2019
Nghệ An,202,3337.2,100.11,1.39,1926.1,Bắc Trung bộ và duyên hải miền Trung,2019
Hà Tĩnh,215,1290.3,98.88,0.76,707.2,Bắc Trung bộ và duyên hải miền Trung,2019
Quảng Bình,112,896.6,100.72,0.61,516.1,Bắc Trung bộ và duyên hải miền Trung,2019
Quảng Trị,137,633.4,98.33,0.59,350.6,Bắc Trung bộ và duyên hải miền Trung,2019
Thừa Thiên Huế,230,1129.5,97.96,0.36,621,Bắc Trung bộ và duyên hải miền Trung,2019
Đà Nẵng,888,1141.1,97.19,2.4,606.7,Bắc Trung bộ và duyên hải miền Trung,2019
Quảng Nam,142,1497.5,96.8,0.45,896.2,Bắc Trung bộ và duyên hải miền Trung,2019
Quảng Ngãi,239,1231.9,97.75,0.11,739.2,Bắc Trung bộ và duyên hải miền Trung,2019
Bình Định,245,1487.8,97.03,0,891.2,Bắc Trung bộ và duyên hải miền Trung,2019
Phú Yên,174,873.2,101.22,0.19,521.1,Bắc Trung bộ và duyên hải miền Trung,2019
Khánh Hòa,240,1232.8,99.05,0.68,695.2,Bắc Trung bộ và duyên hải miền Trung,2019
Ninh Thuận,176,591,100.57,0.37,338.1,Bắc Trung bộ và duyên hải miền Trung,2019
Bình Thuận,108,5861.3,100.99,0.41,726.8,Bắc Trung bộ và duyên hải miền Trung,2019
Kon Tum,56,543.4,101,2.08,316.1,Tây Nguyên,2019
Gia Lai,98,1520.2,100.43,1.64,908.1,Tây Nguyên,2019
Đắk Lắk,144,1872.6,101.7,0.59,1117.6,Tây Nguyên,2019
Đắk Nông,96,625.8,106.34,1.69,374.1,Tây Nguyên,2019
Lâm Đồng,133,1299.3,101.44,0.61,770.1,Tây Nguyên,2019
Bình Phước,145,997.8,101.65,1.31,603.8,Đông Nam Bộ,2019
Tây Ninh,290,1171.7,99.88,0.95,707,Đông Nam Bộ,2019
Bình Dương,912,2456.3,101.36,4.74,1647.6,Đông Nam Bộ,2019
Đồng Nai,531,3113.7,100.68,1.92,1765.9,Đông Nam Bộ,2019
Bà Rịa - Vũng Tàu,582,1152.2,100.74,1.22,624.1,Đông Nam Bộ,2019
Hồ Chí Minh,4385,9038.6,95.07,2.21,4826,Đông Nam Bộ,2019
Long An,377,1695.1,99.52,0.97,1056.8,Đồng bằng sông Cửu Long,2019
Tiền Giang,704,1766.3,96.38,0.41,1123.5,Đồng bằng sông Cửu Long,2019
Bến Tre,538,1289.1,95.81,0.24,828.8,Đồng bằng sông Cửu Long,2019
Trà Vinh,428,1009.3,96.98,0.05,578.7,Đồng bằng sông Cửu Long,2019
Vĩnh Long,670,1022.6,97.1,-0.01,622.4,Đồng bằng sông Cửu Long,2019
Đồng Tháp,472,1598.8,99.87,-0.46,929.4,Đồng bằng sông Cửu Long,2019
An Giang,539,1907.4,98.62,-1.22,1002.5,Đồng bằng sông Cửu Long,2019
Kiên Giang,272,1723.7,102.8,0.32,952.6,Đồng bằng sông Cửu Long,2019
Cần Thơ,859,1236,98.39,0.67,720.2,Đồng bằng sông Cửu Long,2019
Hậu Giang,451,732.2,99.81,-0.37,420.3,Đồng bằng sông Cửu Long,2019
Sóc Trăng,362,1199.5,99.38,-0.77,657.9,Đồng bằng sông Cửu Long,2019
Bạc Liêu,340,908.2,100.19,0.58,518.1,Đồng bằng sông Cửu Long,2019
Cà Mau,229,1194.3,102.63,-0.11,690.9,Đồng bằng sông Cửu Long,2019
Hà Nội,2455,8246.6,98.09,1.89,4124.62,Đồng bằng sông Hồng,2020
Vĩnh Phúc,948,1171.2,99.35,1.42,634.47,Đồng bằng sông Hồng,2020
Bắc Ninh,1725,1419.1,97.07,2.94,774.57,Đồng bằng sông Hồng,2020
Quảng Ninh,217,1337.6,103.46,0.96,693.57,Đồng bằng sông Hồng,2020
Hải Dương,1149,1916.8,99.6,1.05,1015.05,Đồng bằng sông Hồng,2020
Hải Phòng,1315,2053.5,97.86,1,1077.77,Đồng bằng sông Hồng,2020
Hưng Yên,1364,1269.1,100.58,1.06,722.01,Đồng bằng sông Hồng,2020
Thái Bình,1179,1870.3,95.05,0.43,1084.33,Đồng bằng sông Hồng,2020
Hà Nam,1000,861.8,97.13,0.86,466.97,Đồng bằng sông Hồng,2020
Nam Định,1067,1780.3,96.05,-0.03,1025.16,Đồng bằng sông Hồng,2020
Ninh Bình,717,993.9,99.61,0.95,563.57,Đồng bằng sông Hồng,2020
Hà Giang,110,870.2,102.1,1.42,529.36,Trung du và miền núi phía Bắc,2020
Cao Bằng,80,533.1,100.35,0.42,348.99,Trung du và miền núi phía Bắc,2020
Bắc Kạn,65,316.5,103.59,0.66,205.97,Trung du và miền núi phía Bắc,2020
Tuyên Quang,135,792.9,101.41,0.84,480.5,Trung du và miền núi phía Bắc,2020
Lào Cai,117,746.4,103.78,1.78,432.98,Trung du và miền núi phía Bắc,2020
Yên Bái,121,831.6,101.35,1.04,521.21,Trung du và miền núi phía Bắc,2020
Thái Nguyên,371,1307.9,95.51,1.31,769.91,Trung du và miền núi phía Bắc,2020
