item_id,shop_id,Brand,sold_quantity,stock, discount_price ,original_price,discount,liked_count,rating_star,number_of_ratings
1618495113,70094786,NOKIA,536,89," 139,000,000,000 ",1.49E+11,7%,306,4.64,230
3949771147,11171175,OPPO,4118,13609," 74,900,000,000 ",1.49E+11,50%,2710,4.42,50
7952368793,108110554,SAMSUNG,167,8444," 89,800,000,000 ",1.49E+11,40%,8,5,3
9031452341,11171175,SAMSUNG,1286,12631," 75,000,000,000 ",1.49E+11,50%,6,4.73,11
16509763076,25143432,SAMSUNG,84,8360," 98,000,000,000 ",1.49E+11,34%,0,5,5
2331009681,49282974,XIAOMI,427,42," 131,800,000,000 ",1.498E+11,12%,411,4.72,195
3818725054,108110554,SAMSUNG,849,14731," 89,800,000,000 ",1.498E+11,44%,86,4.48,25
16609567863,25143432,VIVO,105,18892," 79,800,000,000 ",1.498E+11,50%,2,5,9
8498559037,25143432,SAMSUNG,97,13857," 149,900,000,000 ",1.499E+11,50%,1,5,6
13241985463,11171175,OPPO,287,9221," 84,900,000,000 ",1.499E+11,48%,10,5,6
1854033563,108110554,SONY,212,25282," 99,800,000,000 ",1.5E+11,40%,58,4.61,23
3017124708,11171175,OPPO,1311,14747," 84,900,000,000 ",1.5E+11,49%,14,5,8
4352188743,11171175,XIAOMI,3388,20544," 87,900,000,000 ",1.5E+11,48%,103,4.03,33
4552374842,108110554,SAMSUNG,2096,18848," 75,000,000,000 ",1.5E+11,50%,24,4.35,23
4652197983,11171175,SAMSUNG,2973,18964," 75,000,000,000 ",1.5E+11,50%,27,4.46,24
4852371955,108110554,XIAOMI,272,18951," 94,900,000,000 ",1.5E+11,50%,12,4.64,11
5051104519,11171175,VIVO,2801,3863," 75,000,000,000 ",1.5E+11,50%,21,5,9
5952186083,11171175,XIAOMI,3416,35090," 89,000,000,000 ",1.5E+11,47%,115,4.13,60
6852532022,309929726,NO BRAND,157,36545," 84,800,000,000 ",1.5E+11,43%,924,4,10
10887916221,25143432,SAMSUNG,109,18830," 75,000,000,000 ",1.5E+11,50%,0,5,8
3520576638,108110554,XIAOMI,153,25294," 88,800,000,000 ",1.548E+11,49%,15,4.9,10
4483243015,11171175,SAMSUNG,1259,9098," 144,900,000,000 ",1.549E+11,50%,31,5,2
9740046870,11171175,SONY,2185,18552," 144,900,000,000 ",1.549E+11,44%,31,4.67,15
16409564892,25143432,VIVO,118,18792," 79,900,000,000 ",1.549E+11,48%,8,4.82,11
3386711623,11171175,VIVO,416,18023," 77,700,000,000 ",1.55E+11,50%,15,4.94,18
4852533947,309929726,OPPO,142,14526," 89,700,000,000 ",1.55E+11,50%,899,4.71,7
6212516420,108110554,OPPO,261,12488," 84,700,000,000 ",1.55E+11,50%,49,4.58,24
7316851416,214979459,XIAOMI,154,6," 148,900,000,000 ",1.55E+11,4%,5947,4.96,118
7549788780,11171175,XIAOMI,2997,7054," 84,900,000,000 ",1.55E+11,46%,47,4.63,24
7552373176,108110554,SAMSUNG,2037,18856," 84,700,000,000 ",1.55E+11,49%,14,4.93,15
7975990871,108110554,SAMSUNG,851,35507," 77,700,000,000 ",1.55E+11,50%,33,4.77,35
8098615523,25143432,OPPO,206,12345," 84,900,000,000 ",1.55E+11,49%,20,4.71,17
9444250566,11171175,SAMSUNG,1416,9632," 89,900,000,000 ",1.55E+11,49%,17,4.67,15
9669490316,173096505,OPPO,57,242," 125,000,000,000 ",1.55E+11,19%,452,5,5
10787908442,25143432,SAMSUNG,217,35428," 77,900,000,000 ",1.55E+11,50%,6,4.6,10
14755882224,25143432,OPPO,97,8346," 84,700,000,000 ",1.55E+11,45%,1,5,7
14855940368,25143432,SAMSUNG,114,18833," 89,800,000,000 ",1.55E+11,49%,1,5,8
7448419701,11171175,SAMSUNG,777,20609," 139,900,000,000 ",1.579E+11,48%,3657,4.72,36
8831516075,11171175,SAMSUNG,1255,9447," 138,900,000,000 ",1.579E+11,50%,20,5,3
1275820428,49282974,XIAOMI,1069,38," 138,800,000,000 ",1.588E+11,13%,1074,4.82,549
3652471735,108110554,XIAOMI,1425,31666," 88,800,000,000 ",1.588E+11,50%,14,4.5,14
13978613755,25143432,OPPO,203,8135," 84,800,000,000 ",1.588E+11,50%,32,5,12
11316298680,113506450,SONY,19,9," 88,800,000,000 ",1.59E+11,44%,159,5,6
16209761963,25143432,SAMSUNG,85,8359," 89,900,000,000 ",1.59E+11,43%,1,5,5
4452528908,309929726,LG,180,14326," 159,800,000,000 ",1.598E+11,46%,584,5,4
2049264807,25985266,NO BRAND,14,1," 135,000,000,000 ",1.6E+11,16%,34,5,5
2945983577,11171175,XIAOMI,1032,8443," 84,500,000,000 ",1.6E+11,50%,7,3.2,5
3011386018,108110554,LG,2023,4786," 97,700,000,000 ",1.6E+11,47%,13,4.86,14
9831532907,11171175,OPPO,1578,14604," 82,800,000,000 ",1.6E+11,50%,19,4.2,5
9931533674,11171175,OPPO,1554,18543," 83,900,000,000 ",1.6E+11,49%,28,5,12
4148368397,11171175,LG,2401,14722," 154,400,000,000 ",1.644E+11,50%,3625,4.35,46
6547964533,11171175,LG,2713,13903," 154,400,000,000 ",1.644E+11,46%,1113,4.6,48
