item_id,shop_id,Brand,sold_quantity,stock,discount_price,original_price,discount,liked_count,rating_star,number_of_ratings
5352369865,108110554,LG,185,18833,1.797E+11,3.477E+11,49%,21,4.65,20
3290945218,405102750,NO BRAND,31,21,4900000000,0,0%,4,4.9,10
10917516257,189268414,NO BRAND,24,109984,6.44E+11,7E+11,8%,6984,4.727272727,11
10963740387,331695868,OPPO,117,12,3.899E+11,4.99E+11,22%,86,4.9375,32
8616636661,134675802,NOKIA,22,1,14900000000,0,0%,7,4.545454545,11
11941789535,215436462,NO BRAND,140,18496,5800000000,7500000000,27%,3,4.888888889,9
11535249633,462687508,SAMSUNG,12,2,7449500000,0,0%,32,4.833333333,6
11162369321,116554044,NO BRAND,87,3994,54900000000,0,0%,26,4.791666667,24
9348975276,418171915,NO BRAND,23,274,5000000000,0,0%,0,4.8,5
6475522453,134675802,NOKIA,91,31,1800000000,0,0%,12,4.538461538,26
6423271524,132851619,NO BRAND,19,41,4900000000,0,0%,2,4.75,4
6219570391,171789861,SAMSUNG,10,90,22000000000,0,0%,1150,4.833333333,6
4167825444,244292162,SAMSUNG,13,86,63300000000,0,0%,114,4.8,5
3762992871,131595456,NOKIA,21,98,38500000000,0,0%,3,4.8,5
3335562329,98494598,LG,8,8,6000000000,0,0%,5,4.833333333,6
12250525172,15270429,XIAOMI,5,1,65000000000,0,0%,6,4.75,4
11117467776,75374252,OPPO,12,2,25000000000,0,0%,5,4.8,5
10964570212,568505546,VIVO,6,13,5.99E+11,6.889E+11,13%,9,4.75,4
9810938099,78631412,BLACKBERRY,7,43,49000000000,0,0%,14,4.75,4
7045382818,203824801,NOKIA,11,791,4800000000,0,0%,10,4.75,4
6752530844,309929726,SAMSUNG,134,50906,2.45E+11,0,0%,877,5,3
6706954101,140721850,SAMSUNG,16,990,51842000000,52900000000,2%,42,4.8,5
6441227479,48782032,LG,71,554,3.195E+11,0,0%,502,4.75,4
5104258188,157530225,NO BRAND,15,9999,56905000000,59900000000,5%,28,4.75,4
4285018256,71474818,SONY,12,26,2.38523E+11,2.459E+11,3%,29,4.8,5
2446252839,147784810,NO BRAND,26,44,4500000000,0,0%,1,4.8,5
2371496556,105007295,MOBIISTAR,12,88,6000000000,0,0%,2,4.75,4
1368184569,33917080,NOKIA,8,9,34600000000,0,0%,10,4.75,4
1105267207,28219739,NO BRAND,13,87,6000000000,0,0%,0,4.75,4
7013943714,108110554,SAMSUNG,280,16792,1.399E+11,2.79E+11,50%,67,4.368421053,19
6405676432,83813714,NO BRAND,180,10,5000000000,5500000000,9%,51,4.684210526,38
9215360271,208445880,NO BRAND,19,220,69900000000,0,0%,34,4.333333333,9
2893254649,89681009,SAMSUNG,10,19,6.5E+11,0,0%,177,4.142857143,7
5782620814,31027513,NO BRAND,12,3,2.59E+11,2.99E+11,14%,68,5,4
9703665985,225538911,SAMSUNG,6,18,76950000000,0,0%,26,5,4
8721539848,89319297,NO BRAND,7,7,2.49E+11,0,0%,10,5,4
6043697579,48810739,LG,22,2532,2.99E+11,0,0%,232,5,3
1792974942,94657273,NO BRAND,14,300,1400000000,0,0%,10105,5,3
7400881005,87493314,OPPO,101,16,62000000000,0,0%,90,4.111111111,9
9107285477,276623547,NOKIA,96,2898,53900000000,69900000000,27%,112,4,10
4752527341,309929726,SAMSUNG,78,28456,69900000000,77900000000,50%,869,4.4,5
3650944588,130012732,NO BRAND,10,98,19900000000,0,0%,4,4.4,5
2681043133,31474031,HTC,9,399,2.75E+11,0,0%,616,4.4,5
5825059,1832786,NOKIA,18,46,45000000000,0,0%,32,4.4,5
3511527609,34271889,2GOOD,67,13,39900000000,0,0%,42,4.19047619,21
4943225135,240476593,NO BRAND,30,55,44500000000,0,0%,5,4,9
3027835330,27662376,NOKIA,38,65,36900000000,65000000000,43%,14,4.5,8
5470695845,126930889,NOKIA,4,16,1.64E+11,0,0%,10,5,3
4954567296,55763871,NO BRAND,3,29,4.2E+11,0,0%,48,5,3
1936267843,40711448,SAMSUNG,5,95,10000000000,0,0%,63,5,3
1495321224,25990212,NO BRAND,4,1,2.49E+11,0,0%,19,5,3
6352370891,108110554,SONY,148,9023,1.049E+11,1.799E+11,42%,9,5,8
2890995840,87493314,OPPO,163,118,1.75E+11,0,0%,17,5,2
649174919,38339498,SAMSUNG,5,2,1.65E+11,0,0%,68,4.5,4
5657098578,48782032,SAMSUNG,106,3794,1.89E+11,0,0%,37,5,3
6632132118,108110554,SONY,109,1111,99000000000,1.65E+11,43%,17,4.5,4
2176467762,136092747,NOKIA,23,66,34900000000,0,0%,35,4.2,10
1287733706,48168126,NOKIA,35,163,29500000000,0,0%,24,4.111111111,9
1193942916,71401154,NOKIA,28,18,18000000000,0,0%,12,4.111111111,9
10815996742,42475799,NO BRAND,562,40,24900000000,29900000000,17%,628,4.839416058,137
7052370654,108110554,XIAOMI,192,12570,84800000000,1.4E+11,48%,16,3.666666667,12
15400645493,439171782,NO BRAND,404,9584,400000000,800000000,50%,4,4.980952381,105
8869922658,448851271,NO BRAND,88,19901,480000000,0,0%,912,4.666666667,6
7352473965,309929726,SAMSUNG,74,37069,69800000000,79800000000,50%,891,5,4
7152533313,309929726,XIAOMI,119,35678,1.597E+11,2.5E+11,36%,830,5,5
5552532495,309929726,NO BRAND,135,39401,2.644E+11,4E+11,34%,888,5,5
11913236517,459327156,NO BRAND,224,118748,480000000,0,0%,950,5,7
6181893597,16214702,NOKIA,28,92,12900000000,0,0%,5,4.875,8
8152698848,438887870,NO BRAND,16,4,42000000000,0,0%,5,4.5,6
8627738418,405102750,NO BRAND,52,22,21000000000,0,0%,9,4.636363636,11
14246793471,2110370,ONEPLUS,35,1,1.69E+12,2.29E+12,26%,937,5,5
10764190251,144830010,NO BRAND,66,75,1500000000,0,0%,2,4.5,4
6652533855,309929726,OPPO,148,27479,87900000000,1.65E+11,50%,879,5,8
4852479380,309929726,SAMSUNG,89,42894,1.494E+11,1.744E+11,50%,880,5,5
4252531303,309929726,SAMSUNG,101,83900,1.048E+11,1.898E+11,45%,924,4.333333333,6
17703368999,101131972,NO BRAND,27,973,5500000000,0,0%,1832,5,1
17403197879,101131972,NO BRAND,28,2272,20000000000,0,0%,1802,5,1
16804307072,101131972,EARLDOM,27,9973,6900000000,0,0%,1773,5,1
15738611870,20977279,SAMSUNG,17,23,99900000000,0,0%,3,5,3
15653180159,101131972,NO BRAND,32,3067,49900000000,0,0%,1692,5,2
14352829541,101131972,NO BRAND,30,6470,33500000000,0,0%,1709,5,1
13277107300,101131972,NO BRAND,28,5532,9900000000,0,0%,1677,5,2
11462361033,178920506,NO BRAND,62,406,2.3828E+11,2.59E+11,8%,6649,5,2
11066732834,407016717,VIVO,4,58,5.29E+11,0,0%,0,5,1
11062342089,178920506,NO BRAND,31,44,4.199E+11,0,0%,6534,5,1
10487079958,101131972,NO BRAND,27,5973,10500000000,0,0%,1714,5,1
10166830729,23597245,SAMSUNG,4,1,4.55E+11,6.29E+11,28%,5,5,1
9775634923,450229646,NO BRAND,5,750,1350000000,1500000000,10%,2,5,1
9728310876,38339498,OPPO,5,1,15000000000,0,0%,3,3,2
9475920367,465812841,NO BRAND,17,973,100000000,0,0%,685,5,1
8639021337,25336862,NO BRAND,9,190,20000000000,0,0%,0,5,1
7957109023,48810739,OPPO,56,33036,1.19E+11,0,0%,1,5,1
7957105840,48810739,SAMSUNG,25,25885,7E+11,0,0%,1,5,1
7757109715,48810739,NO BRAND,18,17685,1.799E+11,0,0%,0,5,1
7757107268,48810739,NO BRAND,18,26646,4E+11,0,0%,0,5,1
7752775841,52785791,NO BRAND,5,160,2.099E+11,3E+11,39%,0,5,1
7357089480,48782032,SONY,15,19776,2E+11,0,0%,2,5,1
7257109563,48810739,NO BRAND,25,25627,4.799E+11,0,0%,0,5,1
7052473928,309929726,SAMSUNG,112,12015,1.55E+11,2.55E+11,39%,563,5,3
6957111463,48810739,NO BRAND,25,35527,3E+11,0,0%,0,5,1
6957110215,48810739,NO BRAND,18,53235,3E+11,0,0%,0,5,1
6957108218,48810739,SONY,19,26468,2E+11,0,0%,0,5,1
6941171782,48782032,SAMSUNG,15,522,4.999E+11,0,0%,46,5,1
6936245860,48782032,NOKIA,42,258,42000000000,0,0%,49,5,1
6857111152,48810739,NO BRAND,25,8336,6.9E+11,0,0%,0,5,1
6257108101,48810739,SAMSUNG,20,26419,1.5E+11,0,0%,0,5,1
6157110728,48810739,NO BRAND,25,17751,4E+11,0,0%,1,5,1
6157099739,48782032,SAMSUNG,20,3879,94900000000,1.69E+11,47%,0,5,1
6152537939,309929726,NO BRAND,151,75957,1.248E+11,2E+11,42%,855,5,3
5957094530,48782032,SONY,15,25453,2.5E+11,0,0%,0,5,1
5757098617,48782032,SAMSUNG,20,17056,5E+11,0,0%,0,5,1
5757093081,48782032,LG,62,21142,5E+11,0,0%,44,5,1
5655298525,48782032,SONY,36,864,1.89E+11,0,0%,49,5,1
5607932205,25336862,NO BRAND,35,965,4000000000,0,0%,1,5,1
5552530912,309929726,XIAOMI,113,19706,3.848E+11,7.2E+11,47%,844,5,3
5352532616,309929726,XIAOMI,80,26634,3.879E+11,7E+11,45%,968,5,3
5057093225,48782032,SAMSUNG,20,10937,1.49E+11,0,0%,0,5,1
4457096059,48782032,SAMSUNG,15,3754,1.59E+11,0,0%,0,5,1
4252540290,309929726,SAMSUNG,96,20896,84800000000,1.65E+11,49%,863,5,2
4252536121,309929726,OPPO,110,27886,1E+11,0,0%,882,5,2
4252535638,309929726,XIAOMI,129,27863,2.098E+11,4E+11,48%,909,5,4
4057115107,48810739,NO BRAND,30,26632,2E+11,0,0%,0,5,1
3957192030,48782032,OPPO,18,7310,1.499E+11,2.4E+11,46%,1,5,1
3657207356,48810739,NO BRAND,25,33217,1.2E+11,0,0%,0,5,1
3552468279,108110554,NO BRAND,47,12437,1.098E+11,2E+11,48%,3,5,1
3357203422,48810739,HTC,31,18403,1.79E+11,0,0%,1,5,1
3257275020,48810739,NO BRAND,24,785,1.799E+11,0,0%,1,5,1
3257263419,48782032,OPPO,18,2017,2.199E+11,0,0%,0,5,1
3257252485,48782032,OPPO,18,6828,3.09E+11,0,0%,0,5,1
3166859281,48810739,SONY,35,42964,2E+11,0,0%,1,5,1
3166849295,48782032,SONY,20,42846,2E+11,0,0%,0,5,1
3001609528,67783592,NO BRAND,8,42,1800000000,0,0%,192,5,1
2975429223,481529515,NO BRAND,3,207,2000000000,0,0%,1,5,1
2345020965,82027161,SAMSUNG,7,493,5000000000,0,0%,0,5,1
2334016271,49213749,NO BRAND,3,47,1000000000,0,0%,0,5,1
1220845984,70094786,NOKIA,38,596,29000000000,39000000000,26%,19,4.166666667,12
3616259720,136092747,LANDROVER,30,197,49500000000,0,0%,13,4,10
1693270627,108110554,SONY,155,7218,1.077E+11,1.75E+11,38%,21,5,9
1783684123,108110554,LG,64,6681,87900000000,1.279E+11,38%,56,4.4375,16
5852527539,309929726,XIAOMI,130,38691,1E+11,2E+11,50%,930,5,2
4243691924,48810739,SONY,100,2454,2.399E+11,0,0%,849,5,3
4046244397,52785791,SONY,100,50,1.299E+11,1.75E+11,26%,602,5,3
1693108203,108110554,SONY,106,12665,99700000000,1.677E+11,41%,13,5,3
17928524636,502866054,NO BRAND,87,4334,1.28E+11,2E+11,36%,204,3.59375,32
13742334234,193124085,TECNO,17,2,2.749E+11,3.39E+11,19%,38619,5,8
772532188,48168126,NOKIA,13,50,28500000000,0,0%,13,4.5,4
4751165848,208445880,NOKIA,11,4,64950000000,0,0%,17,4.4,5
17940226325,736147186,NOKIA,216,3999780,19000000000,19500000000,5%,1,4.818181818,22
16512638535,124388054,OPPO,40,6,41000000000,0,0%,9,4.764705882,17
10303653498,295766260,NO BRAND,47,1,6000000000,0,0%,1,4.666666667,12
411983087,28754626,NO BRAND,25,18,95000000000,0,0%,70,4.5,8
1042557497,1657913,NOKIA,36,1,15500000000,0,0%,16,4.333333333,6
8776694381,31558581,NOKIA,16,2,12000000000,0,0%,19,4,9
