ID,Năm,Loại chi,Chi chi tiết,Tên đơn vị,"Số tiền
  (triệu đồng)"
56,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Tòa án nhân dân tối cao,
57,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Tòa án nhân dân tối cao,"306,174"
58,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Tòa án nhân dân tối cao,
59,2004,Chi thường xuyên,Chi khác,Tòa án nhân dân tối cao,
60,2004,Chi chương trình mục tiêu,,Tòa án nhân dân tối cao,
61,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Viện Kiểm sát nhân dân tối cao,"100,378"
62,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Viện Kiểm sát nhân dân tối cao,
63,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Viện Kiểm sát nhân dân tối cao,"12,329"
64,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Viện Kiểm sát nhân dân tối cao,
65,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Viện Kiểm sát nhân dân tối cao,"1,210"
66,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Viện Kiểm sát nhân dân tối cao,
67,2004,Chi thường xuyên,Chi đảm bảo xã hội,Viện Kiểm sát nhân dân tối cao,440
68,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Viện Kiểm sát nhân dân tối cao,
69,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Viện Kiểm sát nhân dân tối cao,"350,593"
70,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Viện Kiểm sát nhân dân tối cao,
71,2004,Chi thường xuyên,Chi khác,Viện Kiểm sát nhân dân tối cao,
72,2004,Chi chương trình mục tiêu,,Viện Kiểm sát nhân dân tối cao,"1,000"
73,2004,Tổng chi,,Bộ Quốc phòng,"16,027,475"
74,2004,Tổng chi,,Bộ Công an,"6,755,089"
75,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Ngoại giao,"50,680"
76,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Ngoại giao,"1,770"
77,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Ngoại giao,"6,643"
78,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Ngoại giao,
79,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Ngoại giao,"3,675"
80,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Ngoại giao,
81,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Ngoại giao,
82,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Ngoại giao,"2,947"
83,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Ngoại giao,"419,457"
84,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Ngoại giao,
85,2004,Chi thường xuyên,Chi khác,Bộ Ngoại giao,
86,2004,Chi chương trình mục tiêu,,Bộ Ngoại giao,
87,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Tư pháp,"101,527"
88,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Tư pháp,
89,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Tư pháp,"25,550"
90,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Tư pháp,
91,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Tư pháp,"5,089"
92,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Tư pháp,
93,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Tư pháp,253
94,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Tư pháp,"11,997"
95,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Tư pháp,"175,482"
96,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Tư pháp,
97,2004,Chi thường xuyên,Chi khác,Bộ Tư pháp,
98,2004,Chi chương trình mục tiêu,,Bộ Tư pháp,"1,130"
99,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Tài chính,"103,909"
100,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Tài chính,"91,714"
101,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Tài chính,"49,428"
102,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Tài chính,
103,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Tài chính,"12,346"
104,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Tài chính,
105,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Tài chính,"4,984"
106,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Tài chính,"77,520"
107,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Tài chính,"286,076"
108,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Tài chính,
109,2004,Chi thường xuyên,Chi khác,Bộ Tài chính,
110,2004,Chi chương trình mục tiêu,,Bộ Tài chính,"3,472"
111,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Thương mại,"26,225"
112,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Thương mại,
113,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Thương mại,"29,881"
114,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Thương mại,
115,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Thương mại,"13,596"
116,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Thương mại,
117,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Thương mại,
118,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Thương mại,"60,234"
119,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Thương mại,"114,437"
120,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Thương mại,
121,2004,Chi thường xuyên,Chi khác,Bộ Thương mại,
122,2004,Chi chương trình mục tiêu,,Bộ Thương mại,"5,947"
123,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Lao động - Thương binh - Xã hội,"269,724"
124,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Lao động - Thương binh - Xã hội,
125,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Lao động - Thương binh - Xã hội,"93,880"
126,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Lao động - Thương binh - Xã hội,
127,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Lao động - Thương binh - Xã hội,"7,071"
128,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Lao động - Thương binh - Xã hội,
